base,7400063.494,407255.517,3.979,
test00002,7400075.801,407249.664,1.672,
test00003,7400076.302,407249.315,1.717,
test00004,7400076.840,407249.059,1.689,
test00005,7400077.395,407248.812,1.714,
test00006,7400078.186,407248.554,1.790,
test00007,7400078.821,407248.382,1.781,
test00008,7400079.411,407248.185,1.798,
test00009,7400080.032,407248.039,1.789,
test00010,7400080.632,407247.784,1.784,
test00011,7400081.357,407247.622,1.786,
test00012,7400081.939,407247.338,1.755,
test00013,7400082.527,407247.240,1.727,
test00014,7400083.137,407247.133,1.694,
test00015,7400083.673,407247.175,1.662,
test00016,7400084.182,407247.258,1.661,
test00017,7400084.713,407247.338,1.715,
test00018,7400085.251,407247.554,1.703,
test00019,7400085.805,407247.789,1.686,
test00020,7400135.213,407339.093,1.410,otimesh
test00021,7400135.294,407339.406,1.474,otimesh
test00022,7400135.364,407339.720,1.488,otimesh
test00023,7400135.359,407339.994,1.439,otimesh
test00024,7400135.438,407340.406,1.426,otimesh
test00025,7400135.497,407340.774,1.481,otimesh
test00026,7400135.515,407341.148,1.447,otimesh
test00027,7400135.588,407341.553,1.403,otimesh
test00028,7400135.609,407341.835,1.431,otimesh
test00029,7400135.615,407342.116,1.464,otimesh
test00030,7400135.675,407342.501,1.487,otimesh
test00031,7400135.744,407342.874,1.485,otimesh
test00032,7400135.867,407343.466,1.506,otimesh
test00033,7400135.909,407343.842,1.571,otimesh
test00034,7400135.972,407344.134,1.657,otimesh
test00035,7400136.060,407344.606,1.766,otimesh
test00036,7400136.101,407345.019,1.851,otimesh
test00037,7400136.129,407345.333,1.816,otimesh
test00038,7400136.179,407345.629,1.864,otimesh
test00039,7400136.251,407346.046,1.912,otimesh
test00040,7400136.255,407346.350,1.850,otimesh
test00041,7400136.253,407346.691,1.814,otimesh
test00042,7400136.272,407347.002,1.795,otimesh
test00043,7400136.234,407347.411,1.757,otimesh
test00044,7400136.292,407347.739,1.848,otimesh
test00045,7400136.408,407348.030,1.813,otimesh
test00046,7400136.387,407348.406,1.828,otimesh
test00047,7400136.416,407348.732,1.806,otimesh
test00048,7400136.522,407349.087,1.819,otimesh
test00049,7400136.575,407349.449,1.772,otimesh
test00050,7400136.682,407349.803,1.739,otimesh
test00051,7400136.751,407350.152,1.750,otimesh
test00052,7400136.732,407350.427,1.709,otimesh
test00053,7400136.773,407350.681,1.593,otimesh
test00054,7400136.794,407350.934,1.548,otimesh
test00055,7400136.757,407351.183,1.479,otimesh
test00056,7400136.772,407351.509,1.392,otimesh
test00057,7400136.738,407351.848,1.358,otimesh
test00058,7400136.692,407352.141,1.408,otimesh
test00059,7400136.815,407352.584,1.413,otimesh
test00060,7400136.761,407352.849,1.313,otimesh
test00061,7400136.744,407353.105,1.325,otimesh
test00062,7400136.794,407353.372,1.228,otimesh
test00063,7400136.750,407353.687,1.176,otimesh
test00064,7400136.755,407354.055,1.051,otimesh
test00065,7400136.794,407354.455,0.929,otimesh
test00066,7400136.755,407354.713,0.850,otimesh
test00067,7400136.857,407355.006,0.740,otimesh
test00068,7400136.867,407355.265,0.576,otimesh
